          <idle>-0       [003] ..s2. 1295657.000521: bpf_trace_printk: port: 11211, total_metrics_size is 656 
          <idle>-0       [003] .Ns2. 1295657.902582: bpf_trace_printk: port: 11215, total_metrics_size is 656 

          <idle>-0       [003] .Ns2. 1295657.902587: bpf_trace_printk: port: 11216, total_metrics_size is 656 

          <idle>-0       [003] .Ns2. 1295657.902591: bpf_trace_printk: port: 11217, total_metrics_size is 656 

          <idle>-0       [003] .Ns2. 1295657.902596: bpf_trace_printk: port: 11218, total_metrics_size is 656 

          <idle>-0       [003] .Ns2. 1295657.902602: bpf_trace_printk: port: 11219, total_metrics_size is 656 

          <idle>-0       [003] .Ns2. 1295657.902606: bpf_trace_printk: port: 11220, total_metrics_size is 656 

          <idle>-0       [003] .Ns2. 1295657.902607: bpf_trace_printk: Elapsed cycles are 197238
          <idle>-0       [003] .Ns2. 1295658.002720: bpf_trace_printk: port: 11211, total_metrics_size is 656 

          <idle>-0       [003] .Ns2. 1295658.002725: bpf_trace_printk: port: 11212, total_metrics_size is 656 

          <idle>-0       [003] .Ns2. 1295658.002730: bpf_trace_printk: port: 11213, total_metrics_size is 656 

          <idle>-0       [003] .Ns2. 1295658.002734: bpf_trace_printk: port: 11214, total_metrics_size is 656 

          <idle>-0       [003] .Ns2. 1295658.002739: bpf_trace_printk: port: 11215, total_metrics_size is 656 

          <idle>-0       [003] .Ns2. 1295658.002743: bpf_trace_printk: port: 11216, total_metrics_size is 656 

          <idle>-0       [003] .Ns2. 1295658.002750: bpf_trace_printk: port: 11217, total_metrics_size is 656 

          <idle>-0       [003] .Ns2. 1295658.002754: bpf_trace_printk: port: 11218, total_metrics_size is 656 

          <idle>-0       [003] .Ns2. 1295658.002759: bpf_trace_printk: port: 11219, total_metrics_size is 656 

          <idle>-0       [003] .Ns2. 1295658.002763: bpf_trace_printk: port: 11220, total_metrics_size is 656 

          <idle>-0       [003] .Ns2. 1295658.002766: bpf_trace_printk: Elapsed cycles are 200098
