          <idle>-0       [000] ..s2. 1295568.309267: bpf_trace_printk: port: 11211, total_metrics_size is -22 
          <idle>-0       [001] .Ns2. 1295581.387043: bpf_trace_printk: Elapsed cycles are 236750
          <idle>-0       [001] .Ns2. 1295582.387160: bpf_trace_printk: port: 11211, total_metrics_size is 656 

          <idle>-0       [001] .Ns2. 1295582.387168: bpf_trace_printk: port: 11212, total_metrics_size is 656 

          <idle>-0       [001] .Ns2. 1295582.387173: bpf_trace_printk: port: 11213, total_metrics_size is 656 

          <idle>-0       [001] .Ns2. 1295582.387177: bpf_trace_printk: port: 11214, total_metrics_size is 656 

          <idle>-0       [001] .Ns2. 1295582.387182: bpf_trace_printk: port: 11215, total_metrics_size is 656 

          <idle>-0       [001] .Ns2. 1295582.387187: bpf_trace_printk: port: 11216, total_metrics_size is 656 

          <idle>-0       [001] .Ns2. 1295582.387192: bpf_trace_printk: port: 11217, total_metrics_size is 656 

          <idle>-0       [001] .Ns2. 1295582.387197: bpf_trace_printk: port: 11218, total_metrics_size is 656 

          <idle>-0       [001] .Ns2. 1295582.387202: bpf_trace_printk: port: 11219, total_metrics_size is 656 

          <idle>-0       [001] .Ns2. 1295582.387207: bpf_trace_printk: port: 11220, total_metrics_size is 656 

          <idle>-0       [001] .Ns2. 1295582.387207: bpf_trace_printk: Elapsed cycles are 228604
          <idle>-0       [001] .Ns2. 1295583.387321: bpf_trace_printk: port: 11211, total_metrics_size is 656 

          <idle>-0       [001] .Ns2. 1295583.387329: bpf_trace_printk: port: 11212, total_metrics_size is 656 

          <idle>-0       [001] .Ns2. 1295583.387333: bpf_trace_printk: port: 11213, total_metrics_size is 656 

          <idle>-0       [001] .Ns2. 1295583.387338: bpf_trace_printk: port: 11214, total_metrics_size is 656 

          <idle>-0       [001] .Ns2. 1295583.387343: bpf_trace_printk: port: 11215, total_metrics_size is 656 

          <idle>-0       [001] .Ns2. 1295583.387348: bpf_trace_printk: port: 11216, total_metrics_size is 656 

          <idle>-0       [001] .Ns2. 1295583.387353: bpf_trace_printk: port: 11217, total_metrics_size is 656 

          <idle>-0       [001] .Ns2. 1295583.387358: bpf_trace_printk: port: 11218, total_metrics_size is 656 

          <idle>-0       [001] .Ns2. 1295583.387364: bpf_trace_printk: port: 11219, total_metrics_size is 656 

          <idle>-0       [001] .Ns2. 1295583.387369: bpf_trace_printk: port: 11220, total_metrics_size is 656 

          <idle>-0       [001] .Ns2. 1295583.387370: bpf_trace_printk: Elapsed cycles are 235370
          <idle>-0       [001] .Ns2. 1295584.387484: bpf_trace_printk: port: 11211, total_metrics_size is 656 

          <idle>-0       [001] .Ns2. 1295584.387491: bpf_trace_printk: port: 11212, total_metrics_size is 656 

          <idle>-0       [001] .Ns2. 1295584.387497: bpf_trace_printk: port: 11213, total_metrics_size is 656 

          <idle>-0       [001] .Ns2. 1295584.387502: bpf_trace_printk: port: 11214, total_metrics_size is 656 

          <idle>-0       [001] .Ns2. 1295584.387507: bpf_trace_printk: port: 11215, total_metrics_size is 656 

